Service,Service Date,Description,Amount,Class,Invoice No.,Customer,Invoice Date,Due Date
Turn Clean,08/05/2026,Jessica Jarboe 4159,$175.00,Jessica Jarboe 4159,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/05/2026,Richard Wright 810,$490.00,Richard Wright 810,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/05/2026,Simon Shanco 1626,$170.00,Simon Shanco 1626,1085,Haven,08/10/2026,08/10/2026
Excessive Trash Pickup,08/05/2026,Byron Bradshaw 1016,$35.00,,1085,Haven,08/10/2026,08/10/2026
Onboarding Clean,08/05/2026,Jamie Gittemeier 1260-5203,$200.00,,1085,Haven,08/10/2026,08/10/2026
Onboarding Clean,08/05/2026,Jamie Gittemeier 1260-5203,$50.00,,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/05/2026,Stephen Obeng 1580,$193.00,Stephen Obeng 1580,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/05/2026,Stephanie Keegan 1260-1306,$120.54,Stephanie Keegan 1260-1306,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/05/2026,Petra Dunn 976,$371.00,Petra Dunn 976,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/05/2026,Paul Ganev 1073,$370.00,Paul Ganev 1073,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/05/2026,Rick Norris 1712,$160.00,Rick Norris 1712,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/05/2026,Bobby Nicely 1132,$460.00,Bobby Nicely 1132,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/05/2026,Hali Hoag 2140,$200.00,Hali Hoag 2140,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/05/2026,Leigh Anne Chong 2021,$315.00,Leigh Anne Chong 2021,1085,Haven,08/10/2026,08/10/2026
Touch Up Clean,08/05/2026,Jana Baumann 2613,$50.00,Jana Baumann 2613,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/05/2026,Robert Miller 191,$150.00,Robert Miller 191,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/06/2026,Kim Mills 2222,$175.00,Kim Mills 2222,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/06/2026,Manish Birla 660,$150.00,,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/06/2026,Taylor Mast 793,$460.00,Taylor Mast 793,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/06/2026,Renee Carter 123,$160.00,Renee Carter 123,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/06/2026,Jeff Albaum 215,$320.00,Jeff Albaum 215,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/06/2026,Billie Armstrong 2915,$365.00,Billie Armstrong 2915,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/06/2026,Lionel Li 1113,$315.00,,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/06/2026,Robin Lall 3931,$165.00,Robin Lall 3931,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/06/2026,Raman Gurai 1118,$375.00,,1085,Haven,08/10/2026,08/10/2026
Excessive Trash Pickup,08/06/2026,Raman Gurai 1118,$50.00,,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/06/2026,Thom Capps 1386-114,$170.00,Thom Capps 1386-114,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/06/2026,Stephanie Keegan 1260-5307,$130.00,Stephanie Keegan 1260-5307,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/06/2026,Lewis Anderson 2691,$100.00,Lewis Anderson 2691,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/06/2026,Amit Chowdhary 770,$400.00,Amit Chowdhary 770,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/06/2026,Michael Rohwer 2455,$175.00,Michael Rohwer 2455,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/06/2026,Brandi Tropf 2505,$260.00,,1085,Haven,08/10/2026,08/10/2026
Onboarding Clean,08/06/2026,Paul Downing 620,$400.00,,1085,Haven,08/10/2026,08/10/2026
Onboarding Clean,08/06/2026,Paul Downing 620,$50.00,,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/06/2026,Philip Graves 857,$388.08,Philip Graves 857,1085,Haven,08/10/2026,08/10/2026
Onboarding Clean,08/06/2026,Paul Downing 2620,$604.80,,1085,Haven,08/10/2026,08/10/2026
Onboarding Clean,08/06/2026,Paul Downing 2620,$50.00,,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/06/2026,Nora Merriman 757,$257.00,Nora Merriman 757,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/06/2026,Florin Pavel 650,$378.00,Florin Pavel 650,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/06/2026,Teresa Wentz 4161,$235.00,Teresa Wentz 4161,1085,Haven,08/10/2026,08/10/2026
Hot Tub Refresh Requested by Guest,08/06/2026,Amit Chowdhary 770,$50.00,Amit Chowdhary 770,1085,Haven,08/10/2026,08/10/2026
Mailed Left Items by the Guest,08/06/2026,Jeanine Patterson 1161,$50.00,Jeanine Patterson 1161,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Adam Pike 1071,$390.00,Adam Pike 1071,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Brian Albaum 442,$155.00,Brian Albaum,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Jeanine Patterson 1161,$269.00,Jeanine Patterson 1161,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Candace Thompson 720,$600.00,Candace Thompson 720,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Chris Elkendier 1622,$375.00,Chris Elkendier 1622,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Colin and Susan Tigwell 621,$320.00,Colin and Susan Tigwell 621,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Corby Leach 1547,$330.00,Corby Leach,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Daniel Shepherd 1931,$180.00,Daniel Shepherd 1931,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,David Maningding 3809,$230.16,David Maningding 3809,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Digant Patel 1554,$178.00,Digant Patel 1554,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Dylan Robinson 768,$325.00,Dylan Robinson 768,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Heidi Schelton 247,$340.00,Heidi Schelton 247,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Jay Hwang 920,$235.00,,1085,Haven,08/10/2026,08/10/2026
Pet Fee (excess dog hair),08/07/2026,Jay Hwang 920,$50.00,,1085,Haven,08/10/2026,08/10/2026
Onboarding Clean,08/07/2026,Jessee Cook 921,$378.00,,1085,Haven,08/10/2026,08/10/2026
Onboarding Clean,08/07/2026,Jessee Cook 921,$50.00,,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Jill Bishop 2719,$230.00,Jill Bishop 2719,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Josh Cowan 2683,$260.00,Josh Cowan 2683,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Karen Wanamarta 3736,$320.00,Karen Wanamarta 3736,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Kathleen Atkins 123,$235.00,Kathleen Atkins 123,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Katie Smith 2880,$335.00,Katie Smith 2880,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Lauren Dela Cruz 1550,$232.00,Lauren Dela Cruz 1550,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Lauren Dela Cruz 526,$190.00,Lauren Dela Cruz 526,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Lisa Collier 333,$152.00,Lisa Collier 333,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Lucy McCandless 1125,$260.00,Lucy McCandless 1125,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Michael Hooper 2335,$120.00,Michael Hooper 2335,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Mike Griffith 1036,$320.00,,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Mike Gunter 413-207,$117.04,Mike Gunter 413-207,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Nicole Morris 813,$310.00,Nicole Morris 813,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Nora Merriman 757,$257.00,Nora Merriman 757,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Pooja Mehta 2933,$385.00,Pooja Mehta 2933,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Rebecca Eisenback 1152,$430.00,Rebecca Eisenback 1152,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Ramesh Kumar 772,$300.00,Ramesh Kumar 772,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Sean Gagnon 411,$318.00,Sean Gagnon 411,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Shane Stephens 3516,$140.00,Shane Stephens 3516,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Simon Shanco 1626,$170.00,Simon Shanco 1626,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Stephanie Bowersock 658,$315.00,Stephanie Bowersock 658,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Stephanie Keegan 1260-5307,$130.00,Stephanie Keegan 1260-5307,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Travis Anders 1437,$340.00,Travis Anders 1437,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Nathan Jobe 4515,$335.00,Nathan Jobe,1085,Haven,08/10/2026,08/10/2026
Excessive Trash Pickup,08/07/2026,Angela McIlveen 811,$50.00,Angela McIlveen 811,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Justin Goodbread 2670,$450.00,Justin Goodbread 2670,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Rachel Ewe 816,$360.00,Rachel Ewe 816,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Ruth Heath 458,$238.00,Ruth Heath 458,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Nanci Allen 917,$290.64,Nanci Allen 917,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Raju Kalidindi 2685,$460.00,Raju Kalidindi 2685,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Tara Rao 116,$150.00,Tara Rao 116,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Antonio Michaelis 8540,$300.00,,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Graham Brown 3940,$378.00,Graham Brown 3940,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Sarah Pearce 2622,$225.00,,1085,Haven,08/10/2026,08/10/2026
Excessive Trash Pickup,08/07/2026,Sarah Pearce 2622,$50.00,,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Jerry Pegram 2137,$235.00,Jerry Pegram 2137,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Mehrnaz Mortazavi 1909,$185.00,Mehrnaz Mortazavi 1909,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Siobhan Belgiovene 1820,$200.00,Siobhan Belgiovene 1820,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Patty Cloninger 2208,$200.00,Patty Cloninger 2208,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Candace Thompson 673,$350.00,Candace Thompson 673,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Byron Bradshaw 1016,$313.32,,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Rob Hart 1141,$235.00,Rob Hart 1141,1085,Haven,08/10/2026,08/10/2026
Hot Tub Refresh Requested by Guest,08/07/2026,Su-Tang Lo 4005,$50.00,Su-Tang Lo 4005,1085,Haven,08/10/2026,08/10/2026
Hot Tub Refresh Requested by Guest,08/07/2026,Patrick Hurd 1825,$70.00,Patrick Hurd 1825,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Candace Morton 1276,$315.00,Candace Morton 1276,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Lauren Dela Cruz 526,$190.00,Lauren Dela Cruz 526,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Christina Kittle 1908,$141.12,Christina Kittle 1908,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Priya Dhawan 2534,$665.00,Priya Dhawan 2534,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Kim Mills 1654,$375.00,Kim Mills 1654,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Mark Urban 2123,$349.00,Mark Urban 2123,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Earl Hodges 513-3,$145.00,Earl Hodges 513-3,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Jace and Katty Eichorn 1525,$320.00,,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Catherine Nelms 1274,$360.00,Catherine Nelms 1274,1085,Haven,08/10/2026,08/10/2026
Excessive Trash Pickup,08/07/2026,Catherine Nelms 1274,$50.00,Catherine Nelms 1274,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Stephen Fu 2107,$250.00,Stephen Fu 2107,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Josef Wankerl 1030,$235.00,Josef Wankerl 1030,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Sandra Pernavaite 1617,$220.00,,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Ricardo Robles 1254,$220.00,Ricardo Robles 1254,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Kaley Eversgerd 933,$175.00,Kaley Eversgerd 933,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Daryl Nelson 159,$600.00,Daryl Nelson 159,1085,Haven,08/10/2026,08/10/2026
Reimbursement,08/07/2026,Daryl Nelson 159,$50.00,Daryl Nelson 159,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Stephen Su 641,$120.00,Stephen Su 641,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Jason Hyre 568,$225.00,Jason Hyre 568,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Stephen Su 637,$120.00,Stephen Su 637,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Lou and Elva Romano 2556,$665.00,Lou and Elva Romano 2556,1085,Haven,08/10/2026,08/10/2026
Linen Pull,08/07/2026,Brad Spurgin 1410,$50.00,Brad Spurgin 1410,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Mohan Thorat 2424,$350.00,Mohan Thorat 2424,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Jennifer Prompanya 2412,$330.00,Jennifer Prompanya 2412,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Nick Jacoby 440,$560.00,Nick Jacoby 440,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Lowell Weiss 229,$315.00,Lowell Weiss 229,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Geri Giddens 437,$665.00,Geri Giddens 437,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Amy Christopher 3303,$345.00,Amy Christopher 3303,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Walter Franey 3325,$235.00,Walter Franey 3325,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/07/2026,Krista Fontana 2779,$400.00,Krista Fontana 2779,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/09/2026,Patrick Hurd 1825,$270.00,Patrick Hurd 1825,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/09/2026,Denny Johnson 2251,$175.00,Denny Johnson 2251,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/09/2026,Daniel Shepherd 1931,$180.00,Daniel Shepherd 1931,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/09/2026,JP Davanzo 327,$155.00,JP Davanzo 327,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/09/2026,Philip Graves 527,$178.00,Philip Graves 527,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/09/2026,Dylan Robinson 744,$325.00,Dylan Robinson 744,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/09/2026,Cale Hanie 6617,$245.00,Cale Hanie 6617,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/09/2026,David Maningding 3809,$230.16,David Maningding 3809,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/09/2026,Lisa Collier 333,$152.00,Lisa Collier 333,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/09/2026,Tara Rao 116,$150.00,Tara Rao 116,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/09/2026,Brian Hopp 7646,$190.00,Brian Hopp 7646,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/09/2026,Renee Carter 123,$160.00,Renee Carter 123,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/09/2026,Duane Reeder 136,$280.00,Duane Reeder 136,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/09/2026,Kevin Parrish 3836,$402.08,,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/09/2026,Nathan Sukhia 843,$220.00,Nathan Sukhia 843,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/09/2026,Melissa Allen 3666,$225.00,Melissa Allen 3666,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/09/2026,Shane Stephens 3516,$140.00,Shane Stephens 3516,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/09/2026,Jessica Jarboe 4159,$175.00,Jessica Jarboe 4159,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/09/2026,Simon Shanco 1626,$170.00,Simon Shanco 1626,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/09/2026,Jason Barton 750,$320.00,Jason Barton 750,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/09/2026,John Kirkman 510,$335.00,John Kirkman 510,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/09/2026,Sharon Holderman 1523,$160.00,Sharon Holderman 1523,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/09/2026,Kylie Willis 914,$175.00,Kylie Willis 914,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/09/2026,Katie Smith 2880,$335.00,Katie Smith 2880,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/09/2026,Raman Gurai 1118,$375.00,,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/09/2026,Chuane Li 1483,$178.00,,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/09/2026,Nora Merriman 757,$257.00,Nora Merriman 757,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/09/2026,Billie Armstrong 2915,$365.00,Billie Armstrong 2915,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/09/2026,Philip Graves 857,$388.08,Philip Graves 857,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/09/2026,Mike Gunter 413-207,$117.04,Mike Gunter 413-207,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/09/2026,Eric Fleming 1260,$130.00,Eric Fleming 1260,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/09/2026,Stephanie Keegan 1260-1306,$120.54,Stephanie Keegan 1260-1306,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/09/2026,Thom Capps 1386-114,$170.00,Thom Capps 1386-114,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/09/2026,Earl Hodges 513-4,$145.00,Earl Hodges 513-4,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/09/2026,Brian Hopp 649,$375.00,,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/09/2026,Michael Hooper 2335,$120.00,Michael Hooper 2335,1085,Haven,08/10/2026,08/10/2026
Pet Fee (excess dog hair),08/09/2026,Michael Hooper 2335,$50.00,Michael Hooper 2335,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/09/2026,Paul Ganev 1073,$370.00,Paul Ganev 1073,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/09/2026,Laura Earl 1117,$330.00,Laura Earl 1117,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/09/2026,Mike Griffith 1036,$320.00,,1085,Haven,08/10/2026,08/10/2026
Turn Clean,08/09/2026,Kathleen Atkins 123,$235.00,Kathleen Atkins 123,1085,Haven,08/10/2026,08/10/2026
